Name,Type of transfer,Total,Accuracy,F1,pcp0,pcp1,pcp2,pcp3,pcp4,pcr0,pcr1,pcr2,pcr3,pcr4,pcf0,pcf1,pcf2,pcf3,pcf4,metadatapath
isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,17176,75.65207265952492,74.28378378179075,84.1,49.3,78.3,86.5,70.1,87.5,47.4,69.2,87.7,84.8,85.7,48.3,73.5,87.1,76.7,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_to_mass_ss1_eeg_f4_condition_sourcemodel_predict_80oftargetdataset_TYPE02,TYPE02,40919,68.39854346391651,64.7771433360499,85.4,49.6,81.2,36.8,68.4,88.5,53.9,61.3,88.7,59.3,86.9,51.7,69.8,52.0,63.5,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_to_mass_ss1_eeg_f4_condition_sourcemodel_predict_80oftargetdataset_TYPE02/TYPE02.npz
isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_to_mass_ss1_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03,TYPE03,10379,66.16244339531747,63.51841704623641,82.2,56.6,77.6,38.8,61.0,82.8,47.6,58.8,88.3,64.2,82.5,51.7,66.9,53.9,62.6,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_to_mass_ss1_eeg_f4_condition_sourcemodel_predict_20oftargetdataset_TYPE03/TYPE03.npz
isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss1_eeg_f4_condition_targetmodel20_predict_80oftargetdataset_TYPE04,TYPE04,40919,79.33967105745499,74.68433132727556,91.5,55.8,84.9,81.9,66.9,82.9,53.6,86.1,61.7,87.6,87.0,54.7,85.5,70.4,75.9,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss1_eeg_f4_condition_targetmodel20_predict_80oftargetdataset_TYPE04/TYPE04.npz
isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss1_eeg_f4_condition_targetmodel20_predict_20oftargetdataset_TYPE05,TYPE05,10379,75.4022545524617,70.31991749025651,81.7,49.9,83.1,83.9,67.0,83.5,54.5,82.8,48.2,79.7,82.6,52.1,82.9,61.2,72.8,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss1_eeg_f4_condition_targetmodel20_predict_20oftargetdataset_TYPE05/TYPE05.npz
isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss1_eeg_f4_condition_targetmodel80_predict_20oftargetdataset_TYPE06,TYPE06,10379,77.36776182676556,73.10691812984865,70.6,65.8,85.3,83.3,74.9,84.2,57.7,85.3,54.6,77.0,76.8,61.5,85.3,65.9,76.0,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_mass_ss1_eeg_f4_condition_targetmodel80_predict_20oftargetdataset_TYPE06/TYPE06.npz
isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_mass_ss1_eeg_f4_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07,TYPE07,40919,81.91060387595004,78.11408428044523,94.2,59.7,83.8,75.0,82.2,85.5,60.1,88.8,70.7,81.9,89.7,59.9,86.2,72.8,82.0,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_mass_ss1_eeg_f4_condition_transfermodelwith20_predict_80oftargetdataset_TYPE07/TYPE07.npz
isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_mass_ss1_eeg_f4_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08,TYPE08,10379,77.84950380576163,73.68397454766391,93.9,64.2,75.3,71.8,78.3,82.4,55.9,88.5,57.0,73.8,87.8,59.7,81.4,63.5,76.0,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_mass_ss1_eeg_f4_condition_transfermodelwith20_predict_20oftargetdataset_TYPE08/TYPE08.npz
isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_mass_ss1_eeg_f4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09,TYPE09,10379,77.19433471432701,73.2057167717456,70.0,69.0,88.9,72.2,70.3,88.1,56.3,80.5,60.2,82.4,78.0,62.0,84.5,65.7,75.9,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss1_with_channel_eeg_f4_with_randomseed_4242/predict_output_transfer_isruc_eeg_o2_a1_to_mass_ss1_eeg_f4_condition_transfermodelwith80_predict_20oftargetdataset_TYPE09/TYPE09.npz
isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_condition_sourcemodel_predict_20ofsourcedataset_TYPE01,TYPE01,17176,76.27503493246391,73.9062364568902,84.2,56.4,75.1,84.5,70.6,89.0,38.5,75.2,88.6,81.3,86.5,45.7,75.2,86.5,75.6,../metadata/isruc_with_channel_eeg_o2_a1_to_mass_ss3_with_channel_eeg_f4_with_randomseed_4242/predict_output_isruc_eeg_o2_a1_condition_sourcemodel_predict_20ofsourcedataset_TYPE01/TYPE01.npz
