source_dataset,source_channel,target_dataset,target_channel,acc_type3,mf1_type3,acc_type6,mf1_type6,acc_type9,mf1_type9
mass_ss1,eeg_f3,mass_ss1,eeg_f4,0.8090136054421768,0.7363099587079164,0.8125850340136055,0.7467325039326441,0.8130952380952381,0.7484447504348303
mass_ss1,eeg_f4,sleepedf,eeg_fpz_cz,0.4079389891525745,0.327255877058964,0.922836435981242,0.759495718719257,0.928994363128227,0.7732400741829233
mass_ss1,eeg_f4,isruc1,eeg_f4_a1,0.6720689655172414,0.623475809161654,0.7839080459770115,0.7556022822063221,0.799080459770115,0.7606843926343533
mass_ss1,eeg_f4,mass_ss3,eeg_f4,0.8515800509210724,0.7858350153428579,0.8638610154260895,0.7966380516213861,0.8800359442863561,0.8217602475583881
mass_ss1,eeg_o2,sleepedf,eeg_fpz_cz,0.42608118990099947,0.3506749912649506,0.922836435981242,0.759495718719257,0.9314101653166595,0.7805155061249323
mass_ss1,eeg_o2,isruc1,eeg_f4_a1,0.6685057471264367,0.61953803007333,0.7837931034482759,0.7555058056608268,0.7863218390804597,0.7610965348070258
mass_ss1,eeg_o2,mass_ss1,eeg_f4,0.7534013605442177,0.6876615396162284,0.8125850340136055,0.7467325039326441,0.8112244897959183,0.7477520436697558
mass_ss1,eeg_o2,mass_ss3,eeg_f4,0.8162348360041936,0.72674188391001,0.8637112475662723,0.7964916683649428,0.876741051370376,0.8209153820238979
mass_ss1,eeg_pz,sleepedf,eeg_fpz_cz,0.4496707877409881,0.4526335984980456,0.922836435981242,0.759495718719257,0.9295154185022027,0.7790503353203713
mass_ss1,eeg_pz,isruc1,eeg_f4_a1,0.6958620689655173,0.6508662510759782,0.7837931034482759,0.75549004428813,0.8019540229885057,0.7731208468886945
mass_ss1,eeg_pz,mass_ss1,eeg_f4,0.7904761904761904,0.7265475780397951,0.8125850340136055,0.7467325039326441,0.817687074829932,0.7627104385456563
mass_ss1,eeg_pz,mass_ss3,eeg_f4,0.845589336528381,0.7700996459528984,0.8637112475662723,0.7964916683649428,0.8761419799311068,0.8190244041707709
mass_ss2,eeg_c4,mass_ss2,eeg_f4,,,,,,
mass_ss2,eeg_c4,mass_ss5,eeg_f4,,,,,,
mass_ss2,eeg_f3,mass_ss2,eeg_f4,,,,,,
mass_ss2,eeg_f4,mass_ss5,eeg_f4,,,,,,
mass_ss2,eeg_o2,mass_ss2,eeg_f4,,,,,,
mass_ss2,eeg_o2,mass_ss5,eeg_f4,,,,,,
mass_ss2,eeg_pz,mass_ss2,eeg_f4,,,,,,
mass_ss2,eeg_pz,mass_ss5,eeg_f4,,,,,,
mass_ss3,eeg_c4,sleepedf,eeg_fpz_cz,0.4976078821467481,0.41056772516646617,0.922836435981242,0.759495718719257,0.9353417649566577,0.7813809275439023
mass_ss3,eeg_c4,isruc1,eeg_f4_a1,0.7147126436781609,0.6453549105824632,0.7837931034482759,0.7555058056608268,0.8091954022988506,0.7733172659145442
mass_ss3,eeg_c4,mass_ss1,eeg_f4,0.8085034013605442,0.7433444718712168,0.8125850340136055,0.7467325039326441,0.8200680272108843,0.7469599610676977
mass_ss3,eeg_c4,mass_ss3,eeg_f4,0.8580200688932155,0.7725633839544443,0.8637112475662723,0.7964916683649428,0.867754979781339,0.8006923153219564
mass_ss3,eeg_f3,mass_ss3,eeg_f4,0.7413509060955519,0.5564113758752359,0.8637112475662723,0.7964916683649428,0.8623633368279168,0.7910484376282404
mass_ss3,eeg_f4,sleepedf,eeg_fpz_cz,0.3536544929183838,0.32781781078637107,0.922836435981242,0.759495718719257,0.9306522665908767,0.7902518737850317
mass_ss3,eeg_f4,isruc1,eeg_f4_a1,0.6550574712643679,0.5976048618428811,0.7840229885057471,0.7556959300937891,0.8006896551724138,0.767053080377265
mass_ss3,eeg_f4,mass_ss1,eeg_f4,0.7852040816326531,0.7070322646109422,0.8125850340136055,0.7467325039326441,0.8192176870748299,0.7545146465439693
mass_ss3,eeg_o2,sleepedf,eeg_fpz_cz,0.3778598834730709,0.36280397993638436,0.922836435981242,0.759495718719257,0.9303206858983468,0.7619442330540814
mass_ss3,eeg_o2,isruc1,eeg_f4_a1,0.6775862068965517,0.6261715625423425,0.7840229885057471,0.7556959300937891,0.7965517241379311,0.7623952566742228
mass_ss3,eeg_o2,mass_ss1,eeg_f4,0.7515306122448979,0.6858914853614738,0.8125850340136055,0.7467325039326441,0.8144557823129251,0.7573347665983039
mass_ss3,eeg_o2,mass_ss3,eeg_f4,0.7766961210124307,0.7039187043231607,0.8638610154260895,0.7966380516213861,0.8734461584543957,0.8122994948434528
mass_ss3,eeg_pz,sleepedf,eeg_fpz_cz,0.41693903652124487,0.39328018030012046,0.922836435981242,0.759495718719257,0.9301312112169011,0.7730859080389569
mass_ss3,eeg_pz,isruc1,eeg_f4_a1,0.6603448275862069,0.600997311278127,0.7840229885057471,0.7556959300937891,0.7926436781609195,0.7651249308991315
mass_ss3,eeg_pz,mass_ss1,eeg_f4,0.7664965986394557,0.7038501869341485,0.8125850340136055,0.7467325039326441,0.8198979591836735,0.7647306415874325
mass_ss3,eeg_pz,mass_ss3,eeg_f4,0.825520443312865,0.761949392281386,0.8637112475662723,0.7964916683649428,0.8695521940991463,0.8172330164575652
mass_ss4,eeg_c4,mass_ss2,eeg_f4,,,,,,
mass_ss4,eeg_c4,mass_ss5,eeg_f4,,,,,,
